path,label
G-U-S-A-T,Admin Theater
G-U-S-A-W,"Morale, Welfare, Recreation (MWR)"
G-U-S-A-W-C,MWR Corps
G-U-S-A-W-T,MWR Theater
G-U-S-A-X,Replacement Holding Unit (RHU)
G-U-S-A-X-C,RHU Corps
G-U-S-A-X-T,RHU Theater
G-U-S-M,Medical Unit
G-U-S-M-C,Medical Corps
G-U-S-M-D,Medical Dental
G-U-S-M-D-C,Medical Dental Corps
G-U-S-M-D-T,Medical Dental Theater
G-U-S-M-M,Medical Treatment Facility
G-U-S-M-M-C,Medical Treatment Facility Corps
G-U-S-M-M-T,Medical Treatment Facility Theater
G-U-S-M-P,Medical Psychological
G-U-S-M-P-C,Medical Psychological Corps
G-U-S-M-P-T,Medical Psychological Theater
G-U-S-M-T,Medical Theater
G-U-S-M-V,Medical Veterinary
G-U-S-M-V-C,Medical Veterinary Corps
G-U-S-M-V-T,Medical Veterinary Theater
G-U-S-S,Supply Unit
G-U-S-S-1,Supply Class I
G-U-S-S-1-C,Supply Class I Corps
G-U-S-S-1-T,Supply Class I Theater
G-U-S-S-2,Supply Class II
G-U-S-S-2-C,Supply Class II Corps
G-U-S-S-2-T,Supply Class II Theater
G-U-S-S-3,Supply Class III
G-U-S-S-3-A,Supply Class III Aviation
G-U-S-S-3-A-C,Supply Class III Aviation Corps
G-U-S-S-3-A-T,Supply Class III Aviation Theater
G-U-S-S-3-C,Supply Class III Corps
G-U-S-S-3-T,Supply Class III Theater
G-U-S-S-4,Supply Class IV
G-U-S-S-4-C,Supply Class IV Corps
G-U-S-S-4-T,Supply Class IV Theater
G-U-S-S-5,Supply Class V
G-U-S-S-5-C,Supply Class V Corps
G-U-S-S-5-T,Supply Class V Theater
G-U-S-S-6,Supply Class VI
G-U-S-S-6-C,Supply Class VI Corps
G-U-S-S-6-T,Supply Class VI Theater
G-U-S-S-7,Supply Class VII
G-U-S-S-7-C,Supply Class VII Corps
G-U-S-S-7-T,Supply Class VII Theater
G-U-S-S-8,Supply Class VIII
G-U-S-S-8-C,Supply Class VIII Corps
G-U-S-S-8-T,Supply Class VIII Theater
G-U-S-S-9,Supply Class IX
G-U-S-S-9-C,Supply Class IX Corps
G-U-S-S-9-T,Supply Class IX Theater
G-U-S-S-C,Supply Corps
G-U-S-S-L,Supply Laundry/Bath
G-U-S-S-L-C,Supply Laundry/Bath Corps
G-U-S-S-L-T,Supply Laundry/Bath Theater
G-U-S-S-T,Supply Theater
G-U-S-S-W,Supply Water
G-U-S-S-W-C,Supply Water Corps
G-U-S-S-W-P,Supply Water Purification
G-U-S-S-W-P-C,Supply Water Purification Corps
G-U-S-S-W-P-T,Supply Water Purification Theater
G-U-S-S-W-T,Supply Water Theater
G-U-S-S-X,Supply Class X
G-U-S-S-X-C,Supply Class X Corps
G-U-S-S-X-T,Supply Class X Theater
G-U-S-S-d,SupplyDepot
G-U-S-T,Transportation Unit
G-U-S-T-A,APOD/APOE
G-U-S-T-A-C,APOD/APOE Corps
G-U-S-T-A-T,APOD/APOE Theater
G-U-S-T-C,Transportation Corps
G-U-S-T-I,Missile
G-U-S-T-I-C,Missile Corps
G-U-S-T-I-T,Missile Theater
G-U-S-T-M,Movement Control Center(MCC)
G-U-S-T-M-C,MCC Corps
G-U-S-T-M-T,MCC Theater
G-U-S-T-R,Railhead
G-U-S-T-R-C,Railhead Corps
G-U-S-T-R-T,Railhead Theater
G-U-S-T-S,SPOD/SPOE
G-U-S-T-S-C,SPOD/SPOE Corps
G-U-S-T-S-T,SPOD/SPOE Theater
G-U-S-T-T,Transportation Theater
G-U-S-X,Maintenance Unit
G-U-S-X-C,Maintenance Corps
G-U-S-X-E,Electro Optical
G-U-S-X-E-C,Electro Optical Corps
G-U-S-X-E-T,Electro Optical Theater
G-U-S-X-H,Maintenance Heavy
G-U-S-X-H-C,Maintenance Heavy Corps
G-U-S-X-H-T,Maintenance Heavy Theater
G-U-S-X-O,Ordnance
