ident,type,description,mhz
CYQG,GND,GND,121.700
CYQG,RDO,LONDON RDO,126.700
CYQG,TWR,TWR,124.700
CYQH,ATF,MANDATORY FREQ,122.100
CYQH,RCO,WHITEHORSE RDO,126.700
CYQH,RDO,ARPT RDO,122.100
CYQI,A/G,MF,123.000
CYQI,CNTR,MONCTON CNTR,123.900
CYQK,CNTR,WINNIPEG CNTR,124.000
CYQK,FSS,RDO,122.200
CYQK,RCO,WINNIPEG RDO,126.700
CYQK,RDO,MF,122.200
CYQK,VDF,VHF/DF,122.200
CYQL,A/G,MF,121.000
CYQL,ATIS,ATIS,124.400
CYQL,CNTR,EDMONTON CNTR,132.750
CYQL,RCO,EDMONTON RDO,122.500
CYQL,RDO,RDO,121.000
CYQM,A/D,APP/DEP,124.400
CYQM,ATIS,ATIS,128.650
CYQM,GND,GND,121.800
CYQM,INFO,APN ADVSY,122.075
CYQM,RCO,HALIFAX RDO,122.500
CYQM,TWR,TWR,120.800
CYQN,UNIC,ATF/UNICOM,122.800
CYQQ,APP,TRML,134.100
CYQQ,ARR,ARR,128.100
CYQQ,ATIS,ATIS,118.600
CYQQ,DEP,DEP,123.700
CYQQ,GND,GND,119.750
CYQQ,OPS,MIL OPS,135.900
CYQQ,PMSV,PMSV,34.460
CYQQ,TWR,TWR,126.200
CYQR,A/G,MF REGINA RDO,118.600
CYQR,ARR,ARR,120.100
CYQR,ATIS,ATIS,127.000
CYQR,CNTR,WINNIPEG,123.800
CYQR,DEP,DEP,120.100
CYQR,GND,GND,121.900
CYQR,RCO,EDMONTON RDO,122.500
CYQR,TWR,TWR,118.600
CYQS,CNTR,TORONTO CNTR,135.300
CYQS,UNIC,ATF/UNICOM,122.700
CYQT,A/D,APP/DEP,119.200
CYQT,A/G,MF,118.100
CYQT,ATIS,ATIS,128.800
CYQT,CNTR,WINNIPEG CNTR,132.125
CYQT,GND,GND,121.900
CYQT,RCO,WINNIPEG RDO,122.500
CYQT,TWR,TWR,118.100
CYQU,A/G,MF GRAND PRAIRIE RDO,118.100
CYQU,ATIS,ATIS,128.600
CYQU,CNTR,EDMONTON CNTR,134.500
CYQU,FSS,RDO,118.100
CYQU,RCO,EDMONTON RDO,122.500
CYQV,A/G,MF EDMONTON RDO,122.200
CYQV,RCO,EDMONTON RDO,122.200
CYQW,A/G,MF,122.100
CYQW,RCO,EDMONTON RDO,123.375
CYQX,A/D,APP/DEP,128.500
CYQX,ATIS,ATIS,124.800
