ident,type,name,municipality,iso_country,iso_region,iata_code,elevation_ft,lat,lon
UIKB,small_airport,Bodaybo Airport,Bodaybo,RU,RU-IRK,ODO,919,57.8661,114.2430
UIKE,small_airport,Yerbogachen Airport,Erbogachen,RU,RU-IRK,ERG,400,61.2750,108.0300
UIKK,small_airport,Kirensk Airport,Kirensk,RU,RU-IRK,KCK,840,57.7730,108.0640
UIKM,small_airport,Mama Airport,Mama,RU,RU-IRK,,659,58.3133,112.8900
UIKP,small_airport,Preobrazheniye Airport,Preobrazheniye,RU,RU-PRI,RZH,34,42.9217,133.9044
UIKX,heliport,R-201 Chonskaya Heliport,Chonskaya,RU,RU-IRK,,1211,60.1500,109.2499
UINN,small_airport,Nizhneudinsk Airport,Nizhneudinsk,RU,RU-IRK,,1340,54.8894,99.0670
UITK,small_airport,Kazachinskaya Airport,Kazachinskaya,RU,RU-IRK,,1499,56.2802,107.5676
UITT,medium_airport,Ust-Kut Airport,Ust-Kut,RU,RU-IRK,UKX,2188,56.8567,105.7300
UIUN,small_airport,Nizhneangarsk International Airport,Nizhneangarsk,RU,RU-BU,NZG,1545,55.8008,109.5950
UIUU,medium_airport,Baikal International Airport,Ulan Ude,RU,RU-BU,UUD,1690,51.8086,107.4397
UKBB,large_airport,Boryspil International Airport,Boryspil,UA,UA-32,KBP,427,50.3450,30.8947
UKBH,small_airport,Korshun Shevchenkovskiy Airfield,,UA,UA-71,,500,49.4249,31.2302
UKCK,small_airport,Kramatorsk Airport,Kramatorsk,UA,UA-14,KRQ,646,48.7068,37.6309
UKCM,medium_airport,Mariupol International Airport,Mariupol,UA,UA-14,MPW,251,47.0761,37.4496
UKDB,medium_airport,Berdyansk Airport,Berdyansk,UA,UA-23,ERD,171,46.8150,36.7581
UKDD,medium_airport,Dnipro International Airport,Dnipro,UA,UA-12,DNK,481,48.3572,35.1006
UKDE,medium_airport,Zaporizhzhia International Airport,Zaporizhia,UA,UA-23,OZH,373,47.8670,35.3157
UKDR,medium_airport,Kryvyi Rih International Airport,Kryvyi Rih,UA,UA-12,KWG,408,48.0433,33.2100
UKFB,medium_airport,Sevastopol International Airport / Belbek Air Base,Sevastopol,UA,UA-43,UKS,344,44.6918,33.5746
UKFF,medium_airport,Simferopol International Airport,Simferopol,UA,UA-43,SIP,639,45.0522,33.9751
UKFG,medium_airport,Gvardeyskoye (Hvardiiske) Air Base,Hvardiiske,UA,UA-43,,721,45.1162,33.9766
UKFI,medium_airport,Saky Air Base,Novofedorivka,UA,UA-43,,36,45.0906,33.5985
UKFK,small_airport,Kerch Airport,Kerch,UA,UA-43,KHC,171,45.3725,36.4014
UKFV,small_airport,Yevpatoriya Airport,Yevpatoriya,UA,UA-43,,33,45.2256,33.3767
UKFW,small_airport,Zavodskoe Airfield,Simferopol,UA,UA-43,,955,44.9163,34.0616
UKFY,medium_airport,Dzhankoy Air Base,Dzhankoy,UA,UA-43,,75,45.7009,34.4189
UKGW,small_airport,Voroniv Airfield,Voroniv,UA,UA-19,,722,50.6960,26.7000
UKHD,small_airport,Kharkiv North Airport,Kharkiv,UA,UA-63,,592,50.0247,36.2668
UKHH,medium_airport,Kharkiv International Airport,Kharkiv,UA,UA-63,HRK,508,49.9269,36.2908
UKHP,small_airport,Suprunovka Airport,Poltava,UA,UA-53,PLV,505,49.5686,34.3972
UKHS,small_airport,Sumy Airport,Sumy,UA,UA-59,UMY,594,50.8583,34.7625
UKIN,small_airport,Haisyn Airfield,Haisyn,UA,UA-05,,790,48.8259,29.3343
UKKE,medium_airport,Cherkasy International Airport,Cherkasy,UA,UA-71,CKC,375,49.4156,31.9953
UKKG,small_airport,Kirovograd Airport,Kirovograd,UA,UA-35,KGO,568,48.5428,32.2850
UKKK,medium_airport,Ihor Sikorsky Kyiv International Airport (Zhuliany),Kyiv,UA,UA-30,IEV,587,50.4019,30.4519
UKKM,medium_airport,Hostomel Airport,Kiev,UA,UA-32,,517,50.6035,30.1919
UKKO,medium_airport,Ozerne Air Base,Zhytomyr,UA,UA-18,,761,50.1583,28.7383
UKKV,small_airport,Zhytomyr Airport,Zhytomyr,UA,UA-18,ZTR,,50.2706,28.7386
UKLC,small_airport,Lutsk Airport,Lutsk,UA,UA-07,UCK,774,50.6784,25.4872
UKLH,medium_airport,Khmelnytskyi Airport,Khmelnytskyi,UA,UA-68,HMJ,1150,49.3597,26.9334
UKLI,medium_airport,Ivano-Frankivsk International Airport,Ivano-Frankivsk,UA,UA-26,IFO,919,48.8842,24.6861
UKLL,large_airport,Lviv International Airport,Lviv,UA,UA-46,LWO,1071,49.8125,23.9561
UKLN,medium_airport,Chernivtsi International Airport,Chernivtsi,UA,UA-77,CWC,826,48.2593,25.9808
UKLR,medium_airport,Rivne International Airport,Rivne,UA,UA-19,RWN,755,50.6071,26.1416
UKLT,small_airport,Ternopil International Airport,Ternopil,UA,UA-61,TNL,1072,49.5242,25.7001
UKLU,medium_airport,Uzhhorod International Airport,Uzhhorod,UA,UA-21,UDJ,383,48.6343,22.2634
UKNG,small_airport,Gogoliv Airfield,Gogoliv (Kiev),UA,UA-32,,,50.5153,31.0466
UKOH,medium_airport,Kherson International Airport,Kherson,UA,UA-65,KHE,148,46.6758,32.5064
UKON,medium_airport,Mykolaiv International Airport,Nikolayev,UA,UA-48,NLV,184,47.0579,31.9198
UKOO,medium_airport,Odessa International Airport,Odessa,UA,UA-51,ODS,172,46.4268,30.6765
UKOR,small_airport,Kulbakyne Air Base,Mykolaiv,UA,UA-48,,177,46.9364,32.0986
UKVN,small_airport,Nalyvaikivka Airfield,Nalyvaikivka,UA,UA-32,,,50.4792,29.7358
UKWW,medium_airport,Vinnytsia/Gavyryshivka International Airport,Vinnitsa,UA,UA-05,VIN,961,49.2425,28.6138
ULAA,medium_airport,Talagi Airport,Archangelsk,RU,RU-ARK,ARH,62,64.6003,40.7167
ULAH,medium_airport,Vaskovo Airport,Arkhangelsk,RU,RU-ARK,VKV,82,64.4417,40.4217
ULAL,small_airport,Leshukonskoye Airport,Leshukonskoye,RU,RU-ARK,LDG,220,64.8960,45.7230
ULAM,medium_airport,Naryan Mar Airport,Naryan Mar,RU,RU-NEN,NNM,36,67.6400,53.1219
ULAO,small_airport,Onega Airfield,Onega,RU,RU-ARK,,59,63.9094,38.1218
ULAR,small_airport,Kargopol,Kargopol,RU,RU-ARK,,420,61.5150,38.9120
ULAS,small_airport,Solovki Airport,Solovetsky Islands,RU,RU-ARK,CSH,60,65.0300,35.7333
ULBM,small_airport,Purnema Airfield,Purnema,RU,RU-ARK,,131,64.3854,37.4412
ULBZ,small_airport,Letnyaya Zolotitsa Airstrip,Letnyaya Zolotitsa,RU,RU-ARK,,16,64.9600,36.8300
ULDD,medium_airport,Amderma Airport,Amderma,RU,RU-NEN,AMV,13,69.7633,61.5564
ULDT,small_airport,Karatayka Airport,Karatayka,RU,RU-NEN,,39,68.7642,61.4187
ULDW,small_airport,Varandey Airport,Varandey,RU,RU-NEN,VRI,23,68.8485,58.2014
ULEH,small_airport,Khorey-Ver Airport,Khorey-Ver,RU,RU-NEN,,230,67.4167,58.0448
ULER,small_airport,Kharuta Airport,Kharuta,RU,RU-NEN,,,66.8461,59.5393
ULIC,small_airport,Tsenogora Airport,Tsenogora,RU,RU-ARK,,262,64.8870,46.7210
ULJO,small_airport,Olema Airport,Olema,RU,RU-ARK,,164,64.4950,46.1467
ULKK,medium_airport,Kotlas Airport,Kotlas,RU,RU-ARK,KSZ,184,61.2358,46.6975
ULKS,small_airport,Savvatiya Air Base,Kotlas,RU,RU-ARK,,318,60.9950,46.8700
ULLD,heliport,Varshavskaya Heliport,Saint Petersburg,RU,RU-SPE,,38,59.8819,30.3060
ULLI,large_airport,Pulkovo Airport,St. Petersburg,RU,RU-SPE,LED,78,59.8003,30.2625
ULLP,medium_airport,Pushkin Airport,St. Petersburg,RU,RU-SPE,,230,59.6850,30.3383
ULMA,small_airport,Umba Airstrip,Umba,RU,RU-MUR,,122,66.6970,34.3870
ULMM,medium_airport,Murmansk Airport,Murmansk,RU,RU-MUR,MMK,266,68.7817,32.7508
ULNP,small_airport,Pestovo Airfield,Pestovo,RU,RU-NGR,,,58.6080,35.7800
ULOO,medium_airport,Pskov Airport,Pskov,RU,RU-PSK,PKV,154,57.7839,28.3956
ULPB,medium_airport,Petrozavodsk Airport,Petrozavodsk,RU,RU-KR,PES,151,61.8852,34.1547
